iter    15 | steps     491,520 | SPS   1,221 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.336 | KL 0.0188 | H_fire 0.316 H_ang 4.13 H_ship 2.54 | V_loss 0.0020 | LR 0.000100 | early_stop=0
iter    16 | steps     524,288 | SPS   1,203 | r_p0 +0.290 r_p1 -0.290 | clip_frac 0.327 | KL 0.0156 | H_fire 0.159 H_ang 4.13 H_ship 2.54 | V_loss 0.0082 | LR 0.000100 | early_stop=0
  ★ best updated: reward=+0.290
iter    17 | steps     557,056 | SPS   1,203 | r_p0 +0.300 r_p1 -0.300 | clip_frac 0.313 | KL 0.0073 | H_fire 0.056 H_ang 4.15 H_ship 2.56 | V_loss 0.0012 | LR 0.000100 | early_stop=0
iter    18 | steps     589,824 | SPS   1,203 | r_p0 +0.300 r_p1 -0.300 | clip_frac 0.306 | KL 0.0086 | H_fire 0.148 H_ang 4.16 H_ship 2.58 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter    19 | steps     622,592 | SPS   1,204 | r_p0 +0.280 r_p1 -0.280 | clip_frac 0.306 | KL 0.0116 | H_fire 0.254 H_ang 4.16 H_ship 2.60 | V_loss 0.0012 | LR 0.000100 | early_stop=0
iter    20 | steps     655,360 | SPS   1,204 | r_p0 +0.270 r_p1 -0.270 | clip_frac 0.307 | KL 0.0121 | H_fire 0.328 H_ang 4.17 H_ship 2.61 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    21 | steps     688,128 | SPS   1,204 | r_p0 +0.270 r_p1 -0.270 | clip_frac 0.310 | KL 0.0152 | H_fire 0.361 H_ang 4.17 H_ship 2.60 | V_loss 0.0017 | LR 0.000100 | early_stop=0
iter    22 | steps     720,896 | SPS   1,204 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.312 | KL 0.0146 | H_fire 0.341 H_ang 4.15 H_ship 2.56 | V_loss 0.0019 | LR 0.000100 | early_stop=0
iter    23 | steps     753,664 | SPS   1,204 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.311 | KL 0.0211 | H_fire 0.265 H_ang 4.12 H_ship 2.53 | V_loss 0.0035 | LR 0.000100 | early_stop=0
iter    24 | steps     786,432 | SPS   1,192 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.304 | KL 0.0096 | H_fire 0.109 H_ang 4.14 H_ship 2.56 | V_loss 0.0050 | LR 0.000100 | early_stop=0
iter    25 | steps     819,200 | SPS   1,193 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.297 | KL 0.0081 | H_fire 0.085 H_ang 4.15 H_ship 2.58 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    26 | steps     851,968 | SPS   1,194 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.295 | KL 0.0100 | H_fire 0.193 H_ang 4.16 H_ship 2.60 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter    27 | steps     884,736 | SPS   1,194 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.295 | KL 0.0103 | H_fire 0.303 H_ang 4.18 H_ship 2.61 | V_loss 0.0017 | LR 0.000100 | early_stop=0
iter    28 | steps     917,504 | SPS   1,194 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.295 | KL 0.0145 | H_fire 0.354 H_ang 4.17 H_ship 2.61 | V_loss 0.0017 | LR 0.000100 | early_stop=0
iter    29 | steps     950,272 | SPS   1,194 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.299 | KL 0.0216 | H_fire 0.348 H_ang 4.17 H_ship 2.59 | V_loss 0.0025 | LR 0.000100 | early_stop=0
iter    30 | steps     983,040 | SPS   1,194 | r_p0 +0.180 r_p1 -0.180 | clip_frac 0.302 | KL 0.0202 | H_fire 0.311 H_ang 4.15 H_ship 2.56 | V_loss 0.0020 | LR 0.000100 | early_stop=0
iter    31 | steps   1,015,808 | SPS   1,194 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.302 | KL 0.0256 | H_fire 0.240 H_ang 4.12 H_ship 2.53 | V_loss 0.0026 | LR 0.000100 | early_stop=0
iter    32 | steps   1,048,576 | SPS   1,186 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.296 | KL 0.0110 | H_fire 0.085 H_ang 4.16 H_ship 2.57 | V_loss 0.0036 | LR 0.000100 | early_stop=0
iter    33 | steps   1,081,344 | SPS   1,187 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.291 | KL 0.0088 | H_fire 0.119 H_ang 4.16 H_ship 2.59 | V_loss 0.0014 | LR 0.000100 | early_stop=0
iter    34 | steps   1,114,112 | SPS   1,187 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.289 | KL 0.0128 | H_fire 0.226 H_ang 4.17 H_ship 2.59 | V_loss 0.0014 | LR 0.000100 | early_stop=0
iter    35 | steps   1,146,880 | SPS   1,188 | r_p0 +0.270 r_p1 -0.270 | clip_frac 0.289 | KL 0.0133 | H_fire 0.302 H_ang 4.17 H_ship 2.59 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    36 | steps   1,179,648 | SPS   1,188 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.290 | KL 0.0154 | H_fire 0.330 H_ang 4.17 H_ship 2.59 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    37 | steps   1,212,416 | SPS   1,188 | r_p0 +0.210 r_p1 -0.210 | clip_frac 0.292 | KL 0.0149 | H_fire 0.311 H_ang 4.16 H_ship 2.57 | V_loss 0.0018 | LR 0.000100 | early_stop=0
iter    38 | steps   1,245,184 | SPS   1,189 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.294 | KL 0.0222 | H_fire 0.259 H_ang 4.13 H_ship 2.54 | V_loss 0.0026 | LR 0.000100 | early_stop=0
iter    39 | steps   1,277,952 | SPS   1,183 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.293 | KL 0.0162 | H_fire 0.206 H_ang 4.12 H_ship 2.52 | V_loss 0.0064 | LR 0.000100 | early_stop=0
iter    40 | steps   1,310,720 | SPS   1,184 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.288 | KL 0.0132 | H_fire 0.066 H_ang 4.17 H_ship 2.57 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter    41 | steps   1,343,488 | SPS   1,184 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.286 | KL 0.0095 | H_fire 0.127 H_ang 4.16 H_ship 2.57 | V_loss 0.0016 | LR 0.000100 | early_stop=0
iter    42 | steps   1,376,256 | SPS   1,185 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.286 | KL 0.0108 | H_fire 0.223 H_ang 4.17 H_ship 2.59 | V_loss 0.0019 | LR 0.000100 | early_stop=0
iter    43 | steps   1,409,024 | SPS   1,185 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.288 | KL 0.0161 | H_fire 0.278 H_ang 4.17 H_ship 2.59 | V_loss 0.0017 | LR 0.000100 | early_stop=0
iter    44 | steps   1,441,792 | SPS   1,185 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.293 | KL 0.0197 | H_fire 0.270 H_ang 4.16 H_ship 2.58 | V_loss 0.0021 | LR 0.000100 | early_stop=0
iter    45 | steps   1,474,560 | SPS   1,185 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.297 | KL 0.0184 | H_fire 0.237 H_ang 4.14 H_ship 2.54 | V_loss 0.0019 | LR 0.000100 | early_stop=0
iter    46 | steps   1,507,328 | SPS   1,186 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.299 | KL 0.0216 | H_fire 0.218 H_ang 4.12 H_ship 2.49 | V_loss 0.0024 | LR 0.000100 | early_stop=0
iter    47 | steps   1,540,096 | SPS   1,181 | r_p0 +0.230 r_p1 -0.230 | clip_frac 0.298 | KL 0.0182 | H_fire 0.167 H_ang 4.12 H_ship 2.51 | V_loss 0.0048 | LR 0.000100 | early_stop=0
iter    48 | steps   1,572,864 | SPS   1,182 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.296 | KL 0.0104 | H_fire 0.085 H_ang 4.17 H_ship 2.58 | V_loss 0.0011 | LR 0.000100 | early_stop=0
