iter    23 | steps      94,208 | SPS      44 | reward -0.069 | clip_frac 0.009 | KL 0.0001 | V_loss 0.0021 | LR 0.000022 | early_stop=0
iter    24 | steps      98,304 | SPS      44 | reward -0.076 | clip_frac 0.009 | KL 0.0002 | V_loss 0.0006 | LR 0.000023 | early_stop=0
iter    25 | steps     102,400 | SPS      43 | reward -0.083 | clip_frac 0.009 | KL 0.0001 | V_loss 0.0018 | LR 0.000024 | early_stop=0
iter    26 | steps     106,496 | SPS      43 | reward -0.083 | clip_frac 0.008 | KL 0.0010 | V_loss 0.0000 | LR 0.000025 | early_stop=0
iter    27 | steps     110,592 | SPS      43 | reward -0.075 | clip_frac 0.009 | KL 0.0019 | V_loss 0.0023 | LR 0.000026 | early_stop=0
iter    28 | steps     114,688 | SPS      43 | reward -0.081 | clip_frac 0.008 | KL -0.0001 | V_loss 0.0022 | LR 0.000027 | early_stop=0
iter    29 | steps     118,784 | SPS      42 | reward -0.081 | clip_frac 0.008 | KL 0.0005 | V_loss 0.0000 | LR 0.000028 | early_stop=0
iter    30 | steps     122,880 | SPS      42 | reward -0.081 | clip_frac 0.009 | KL 0.0040 | V_loss 0.0000 | LR 0.000029 | early_stop=0
iter    31 | steps     126,976 | SPS      42 | reward -0.088 | clip_frac 0.009 | KL 0.0002 | V_loss 0.0022 | LR 0.000030 | early_stop=0
iter    32 | steps     131,072 | SPS      43 | reward -0.070 | clip_frac 0.009 | KL -0.0001 | V_loss 0.1332 | LR 0.000031 | early_stop=0
iter    33 | steps     135,168 | SPS      43 | reward -0.070 | clip_frac 0.008 | KL 0.0006 | V_loss 0.0000 | LR 0.000032 | early_stop=0
iter    34 | steps     139,264 | SPS      43 | reward -0.070 | clip_frac 0.008 | KL -0.0000 | V_loss 0.0018 | LR 0.000033 | early_stop=0
iter    35 | steps     143,360 | SPS      42 | reward -0.070 | clip_frac 0.008 | KL 0.0003 | V_loss 0.0000 | LR 0.000034 | early_stop=0
iter    36 | steps     147,456 | SPS      42 | reward -0.070 | clip_frac 0.008 | KL 0.0000 | V_loss 0.0015 | LR 0.000035 | early_stop=0
iter    37 | steps     151,552 | SPS      42 | reward -0.070 | clip_frac 0.008 | KL 0.0004 | V_loss 0.0000 | LR 0.000036 | early_stop=0
iter    38 | steps     155,648 | SPS      43 | reward -0.070 | clip_frac 0.008 | KL 0.0000 | V_loss 0.0000 | LR 0.000037 | early_stop=0
iter    39 | steps     159,744 | SPS      43 | reward -0.070 | clip_frac 0.007 | KL 0.0000 | V_loss 0.0035 | LR 0.000037 | early_stop=0
iter    40 | steps     163,840 | SPS      43 | reward -0.070 | clip_frac 0.007 | KL -0.0001 | V_loss 0.0000 | LR 0.000038 | early_stop=0
iter    41 | steps     167,936 | SPS      43 | reward -0.080 | clip_frac 0.007 | KL 0.0005 | V_loss 0.0002 | LR 0.000039 | early_stop=0
