Episode   382 | Steps     52,962 | SPS      62 | Reward  -1.00 | Clip 0.056 | KL 0.1801 | V_loss 0.0570 | LR 0.000006 | BC 5.3018
Episode   398 | Steps     55,121 | SPS      62 | Reward  -1.00 | Clip 0.055 | KL 0.1611 | V_loss 0.0589 | LR 0.000006 | BC 5.3630
Episode   414 | Steps     57,282 | SPS      62 | Reward  -1.00 | Clip 0.055 | KL 0.1440 | V_loss 0.0559 | LR 0.000006 | BC 5.3476
Episode   430 | Steps     59,443 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1751 | V_loss 0.0552 | LR 0.000007 | BC 5.2270
Episode   445 | Steps     61,526 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1518 | V_loss 0.0540 | LR 0.000007 | BC 5.4345
Episode   460 | Steps     63,639 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1619 | V_loss 0.0519 | LR 0.000007 | BC 5.1259
Episode   476 | Steps     65,783 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1525 | V_loss 0.0538 | LR 0.000007 | BC 4.9841
Episode   491 | Steps     67,877 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1500 | V_loss 0.0499 | LR 0.000008 | BC 4.9311
Episode   507 | Steps     70,009 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1408 | V_loss 0.0517 | LR 0.000008 | BC 5.2133
Episode   522 | Steps     72,064 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1725 | V_loss 0.0495 | LR 0.000008 | BC 4.9401
Episode   538 | Steps     74,131 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1829 | V_loss 0.0534 | LR 0.000008 | BC 5.0865
Episode   553 | Steps     76,196 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1962 | V_loss 0.0474 | LR 0.000009 | BC 4.6539
Episode   568 | Steps     78,253 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1511 | V_loss 0.0471 | LR 0.000009 | BC 4.8459
Episode   584 | Steps     80,406 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1728 | V_loss 0.0473 | LR 0.000009 | BC 5.1482
Episode   600 | Steps     82,482 | SPS      61 | Reward  -1.00 | Clip 0.055 | KL 0.1610 | V_loss 0.0493 | LR 0.000009 | BC 4.9647
Episode   608 | Steps     84,850 | SPS      62 | Reward  -0.94 | Clip 0.056 | KL 1.4514 | V_loss 0.0444 | LR 0.000010 | BC 4.9630
  ★ Best checkpoint updated: reward=-0.9400 @ 84,850 steps
Episode   619 | Steps     87,039 | SPS      62 | Reward  -0.90 | Clip 0.056 | KL 0.8081 | V_loss 0.0512 | LR 0.000010 | BC 4.8655
  ★ Best checkpoint updated: reward=-0.9000 @ 87,039 steps
Episode   628 | Steps     89,111 | SPS      63 | Reward  -0.88 | Clip 0.057 | KL 0.7979 | V_loss 0.0336 | LR 0.000010 | BC 4.9789
Episode   640 | Steps     91,170 | SPS      63 | Reward  -0.88 | Clip 0.057 | KL 0.4788 | V_loss 0.0358 | LR 0.000010 | BC 4.8426
Episode   649 | Steps     93,514 | SPS      63 | Reward  -0.86 | Clip 0.058 | KL 1.0610 | V_loss 0.0342 | LR 0.000011 | BC 4.9804
  ★ Best checkpoint updated: reward=-0.8600 @ 93,514 steps
Episode   662 | Steps     95,712 | SPS      63 | Reward  -0.84 | Clip 0.058 | KL 0.5732 | V_loss 0.0400 | LR 0.000011 | BC 4.9827
Episode   677 | Steps     97,824 | SPS      63 | Reward  -0.84 | Clip 0.058 | KL 0.1740 | V_loss 0.0392 | LR 0.000011 | BC 4.7379
Episode   689 | Steps    100,283 | SPS      63 | Reward  -0.82 | Clip 0.058 | KL 0.5112 | V_loss 0.0328 | LR 0.000011 | BC 5.2128
  ★ Best checkpoint updated: reward=-0.8200 @ 100,283 steps
Episode   700 | Steps    102,515 | SPS      64 | Reward  -0.80 | Clip 0.058 | KL 0.7630 | V_loss 0.0372 | LR 0.000012 | BC 4.9321
Episode   710 | Steps    104,897 | SPS      64 | Reward  -0.86 | Clip 0.059 | KL 0.6899 | V_loss 0.0309 | LR 0.000012 | BC 4.8458
Episode   719 | Steps    107,248 | SPS      64 | Reward  -0.86 | Clip 0.059 | KL 0.8275 | V_loss 0.0350 | LR 0.000012 | BC 4.8949
Episode   727 | Steps    109,365 | SPS      65 | Reward  -0.86 | Clip 0.059 | KL 0.8295 | V_loss 0.0354 | LR 0.000012 | BC 5.4382
Episode   739 | Steps    111,692 | SPS      65 | Reward  -0.84 | Clip 0.060 | KL 0.6889 | V_loss 0.0392 | LR 0.000012 | BC 5.0216
Episode   749 | Steps    113,785 | SPS      65 | Reward  -0.84 | Clip 0.060 | KL 0.7874 | V_loss 0.0345 | LR 0.000013 | BC 4.8411
