[13:09:34] last: 
[13:12:46] last: 
[13:15:57] last: 
[13:19:08] last: 
[14:42:19] last: iter    10 | steps     327,680 | SPS     202 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.308 | KL 0.0163 | H_fire 0.164 H_ang 4.18 H_ship 2.61 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[14:45:29] last: iter    10 | steps     327,680 | SPS     202 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.308 | KL 0.0163 | H_fire 0.164 H_ang 4.18 H_ship 2.61 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[14:48:40] last: iter    10 | steps     327,680 | SPS     202 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.308 | KL 0.0163 | H_fire 0.164 H_ang 4.18 H_ship 2.61 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[14:51:51] last: iter    11 | steps     360,448 | SPS     127 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.304 | KL 0.0143 | H_fire 0.236 H_ang 4.19 H_ship 2.60 | V_loss 0.0013 | LR 0.000100 | early_stop=0
[14:55:02] last: iter    11 | steps     360,448 | SPS     127 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.304 | KL 0.0143 | H_fire 0.236 H_ang 4.19 H_ship 2.60 | V_loss 0.0013 | LR 0.000100 | early_stop=0
[14:58:13] last: iter    11 | steps     360,448 | SPS     127 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.304 | KL 0.0143 | H_fire 0.236 H_ang 4.19 H_ship 2.60 | V_loss 0.0013 | LR 0.000100 | early_stop=0
[15:01:24] last: iter    11 | steps     360,448 | SPS     127 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.304 | KL 0.0143 | H_fire 0.236 H_ang 4.19 H_ship 2.60 | V_loss 0.0013 | LR 0.000100 | early_stop=0
[15:04:35] last: iter    11 | steps     360,448 | SPS     127 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.304 | KL 0.0143 | H_fire 0.236 H_ang 4.19 H_ship 2.60 | V_loss 0.0013 | LR 0.000100 | early_stop=0
[15:07:46] last: iter    13 | steps     425,984 | SPS     111 | r_p0 -0.140 r_p1 +0.140 | clip_frac 0.317 | KL 0.0377 | H_fire 0.285 H_ang 4.15 H_ship 2.51 | V_loss 0.0018 | LR 0.000100 | early_stop=0
[15:10:57] last: iter    17 | steps     557,056 | SPS     137 | r_p0 -0.660 r_p1 +0.660 | clip_frac 0.304 | KL 0.0129 | H_fire 0.108 H_ang 4.17 H_ship 2.62 | V_loss 0.0011 | LR 0.000100 | early_stop=0
[15:14:08] last: iter    20 | steps     655,360 | SPS     154 | r_p0 -0.100 r_p1 +0.100 | clip_frac 0.312 | KL 0.0221 | H_fire 0.314 H_ang 4.19 H_ship 2.62 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[15:17:28] last: iter    23 | steps     753,664 | SPS     169 | r_p0 +0.780 r_p1 -0.780 | clip_frac 0.321 | KL 0.0239 | H_fire 0.275 H_ang 4.13 H_ship 2.42 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[15:20:39] last: iter    25 | steps     819,200 | SPS     177 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.313 | KL 0.0136 | H_fire 0.113 H_ang 4.18 H_ship 2.63 | V_loss 0.0046 | LR 0.000100 | early_stop=0
[15:23:50] last: iter    26 | steps     851,968 | SPS     182 | r_p0 -0.510 r_p1 +0.510 | clip_frac 0.313 | KL 0.0200 | H_fire 0.283 H_ang 4.17 H_ship 2.61 | V_loss 0.0030 | LR 0.000100 | early_stop=0
[15:27:03] last: iter    26 | steps     851,968 | SPS     182 | r_p0 -0.510 r_p1 +0.510 | clip_frac 0.313 | KL 0.0200 | H_fire 0.283 H_ang 4.17 H_ship 2.61 | V_loss 0.0030 | LR 0.000100 | early_stop=0
[15:30:14] last: iter    26 | steps     851,968 | SPS     182 | r_p0 -0.510 r_p1 +0.510 | clip_frac 0.313 | KL 0.0200 | H_fire 0.283 H_ang 4.17 H_ship 2.61 | V_loss 0.0030 | LR 0.000100 | early_stop=0
[15:33:25] last: iter    26 | steps     851,968 | SPS     182 | r_p0 -0.510 r_p1 +0.510 | clip_frac 0.313 | KL 0.0200 | H_fire 0.283 H_ang 4.17 H_ship 2.61 | V_loss 0.0030 | LR 0.000100 | early_stop=0
ssh: connect to host 32.198.66.117 port 22: Operation timed out
rsync(50861): error: unexpected end of file
ssh: connect to host 32.198.66.117 port 22: Network is unreachable
rsync(51017): error: unexpected end of file
[15:36:35] last: iter    26 | steps     851,968 | SPS     182 | r_p0 -0.510 r_p1 +0.510 | clip_frac 0.313 | KL 0.0200 | H_fire 0.283 H_ang 4.17 H_ship 2.61 | V_loss 0.0030 | LR 0.000100 | early_stop=0
[15:39:46] last: iter    29 | steps     950,272 | SPS     165 | r_p0 -0.460 r_p1 +0.460 | clip_frac 0.318 | KL 0.0203 | H_fire 0.294 H_ang 4.17 H_ship 2.52 | V_loss 0.0015 | LR 0.000100 | early_stop=0
[15:43:31] last: iter    33 | steps   1,081,344 | SPS     180 | r_p0 +0.160 r_p1 -0.160 | clip_frac 0.315 | KL 0.0171 | H_fire 0.196 H_ang 4.17 H_ship 2.58 | V_loss 0.0014 | LR 0.000100 | early_stop=0
[15:46:42] last: iter    36 | steps   1,179,648 | SPS     189 | r_p0 +0.230 r_p1 -0.230 | clip_frac 0.317 | KL 0.0175 | H_fire 0.288 H_ang 4.17 H_ship 2.57 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[15:49:53] last: iter    39 | steps   1,277,952 | SPS     199 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.322 | KL 0.0250 | H_fire 0.276 H_ang 4.14 H_ship 2.42 | V_loss 0.0047 | LR 0.000100 | early_stop=0
[15:53:05] last: iter    42 | steps   1,376,256 | SPS     209 | r_p0 +0.010 r_p1 -0.010 | clip_frac 0.319 | KL 0.0157 | H_fire 0.287 H_ang 4.17 H_ship 2.57 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[15:56:17] last: iter    45 | steps   1,474,560 | SPS     217 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.324 | KL 0.0214 | H_fire 0.277 H_ang 4.16 H_ship 2.50 | V_loss 0.0028 | LR 0.000100 | early_stop=0
[15:59:28] last: iter    48 | steps   1,572,864 | SPS     225 | r_p0 +0.060 r_p1 -0.060 | clip_frac 0.324 | KL 0.0142 | H_fire 0.148 H_ang 4.18 H_ship 2.60 | V_loss 0.0021 | LR 0.000100 | early_stop=0
[16:02:40] last: iter    51 | steps   1,671,168 | SPS     233 | r_p0 -0.070 r_p1 +0.070 | clip_frac 0.331 | KL 0.0195 | H_fire 0.299 H_ang 4.19 H_ship 2.61 | V_loss 0.0025 | LR 0.000100 | early_stop=0
[16:05:51] last: iter    54 | steps   1,769,472 | SPS     240 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.336 | KL 0.0219 | H_fire 0.262 H_ang 4.16 H_ship 2.49 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[16:09:02] last: iter    57 | steps   1,867,776 | SPS     248 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.331 | KL 0.0139 | H_fire 0.255 H_ang 4.18 H_ship 2.61 | V_loss 0.0022 | LR 0.000100 | early_stop=0
[16:12:13] last: iter    60 | steps   1,966,080 | SPS     256 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.342 | KL 0.0207 | H_fire 0.326 H_ang 4.16 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[16:15:25] last: iter    60 | steps   1,966,080 | SPS     256 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.342 | KL 0.0207 | H_fire 0.326 H_ang 4.16 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[16:18:36] last: iter    60 | steps   1,966,080 | SPS     256 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.342 | KL 0.0207 | H_fire 0.326 H_ang 4.16 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[16:21:48] last: iter    60 | steps   1,966,080 | SPS     256 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.342 | KL 0.0207 | H_fire 0.326 H_ang 4.16 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[16:24:59] last: iter    60 | steps   1,966,080 | SPS     256 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.342 | KL 0.0207 | H_fire 0.326 H_ang 4.16 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[16:28:10] last: iter    60 | steps   1,966,080 | SPS     256 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.342 | KL 0.0207 | H_fire 0.326 H_ang 4.16 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
